"","marks.unit","marks.id","marks.suffix","marks.prism","marks.z.x","marks.type.x","marks.geo.x","marks.spit","marks.exc","marks.plunge","marks.bearing","marks.length.x","marks.max_width","marks.thickness","marks.collected.x","marks.comment","marks.date.x","marks.time","marks.year","marks.date.y","marks.z.y","marks.type.y","marks.geo.y","marks.collected.y","marks.integrity","marks.articulation","marks.nsp.bone","marks.nsp.tooth","marks.nsp.total","marks.skeletal.element","marks.skeletal.part","marks.bone.portion","marks.voorhies.group","marks.BM.category","marks.bone.shape..cube.tube.flat.","marks.bone.structure..dense.trabecular.","marks.description","marks.class","marks.order","marks.family","marks.genus","marks.species","marks.taxon","marks.stratified.surface","marks.length.y","marks.carnivore_gnawing","marks.refit","marks.remarks","marks.reference_id.if_from_plaster_jacket.","marks.totalstation_comment","mx","my"
"347","D19","17","0",0.0099999998,-3.551,"Tooth","4","1","KH",NA,NA,NA,NA,NA,"yes",NA,2015-06-19,"12:06:56 PM","2015","6/19/2015",-3.551,"Tooth","4","yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth frags.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA,-19.654,3.884
"349","D19","19","0",0.02,-3.527,"Bone","4","1","KH",10,210,NA,NA,NA,"no","long bone",2015-06-19,"12:08:32 PM","2015","6/19/2015",-3.527,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA,-19.07,3.87
"351","D19","24","0",0,-3.556,"Bone","4","1","DK",2,220,100,NA,NA,"no","not collected, long bone fragment",2015-06-22,"1:35:48 PM","2015","6/22/2015",-3.556,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",100,NA,NA,NA,NA,"not collected, long bone fragment",-19.054,3.833
"352","D19","25","0",0,-3.563,"Bone","4","1","DK",0,154,220,NA,NA,"no","fragment",2015-06-22,"1:36:59 PM","2015","6/22/2015",-3.563,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",220,NA,NA,NA,NA,NA,-19.02,3.741
"353","D19","26","0",0.05,-3.605,"Bone","4","2","AG",NA,NA,NA,NA,NA,"yes","calcaneus fragment",2015-06-23,"10:52:33 AM","2015","6/23/2015",-3.605,"Bone","4","yes","fragment","isolated","1",NA,"1","?tarsal",NA,"fragment",NA,NA,NA,NA,"bone (? calcaneus) frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"calcaneus fragment",-19.823,3.952
"354","D19","28","0",0.24,-4.012,"Bone","4","3","AG",0,0,75,NA,NA,"no","not collected, fragment",2015-06-24,"2:48:52 PM","2015","6/24/2015",-4.012,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",75,NA,NA,NA,NA,"not collected, fragment",-19.602,3.054
"355","D19","29","0",0.01,-3.922,"Bone","4",NA,"AG",4,150,180,60,45,"no","not collected, long bone frag",2016-05-30,"12:58:34 PM","2016","5/30/2016",-3.922,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","stratified",180,NA,NA,NA,NA,"not collected, long bone frag",-19.78,3.373
"357","D20","4","0",0.04,-3.61,"Bone","4","1","Prof.GK",NA,NA,NA,NA,NA,"yes","phalanx",2015-06-16,"2:12:08 PM","2015","6/16/2015",-3.61,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"first phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"phalanx",-20.613,3.379
"358","D20","5","0",0.0099999998,-3.547,"Tooth","4","1","Prof.GK",NA,NA,NA,NA,NA,"yes","equus",2015-06-16,"2:51:16 PM","2015","6/16/2015",-3.547,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"m3 dex","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"equus",-20.293,3.559
"359","D20","6","0",0.05,-3.641,"Bone","4","1","Prof.GK",0,120,120,NA,NA,"no","not collected, long bone fragment",2015-06-17,"10:00:59 AM","2015","6/17/2015",-3.641,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",120,NA,NA,NA,NA,"not collected, long bone fragment",-20.182,3.498
"363","D20","12","0",0.0099999998,-3.659,"Bone","4","1","Prof.GK",5,240,100,NA,NA,"no","not collected",2015-06-19,"10:25:18 AM","2015","6/19/2015",-3.659,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",100,NA,NA,NA,NA,"not collected",-20.142,3.209
"364","D20","13","0",0.01,-3.532,"Bone","4","1","Prof.GK",6,230,90,NA,NA,"no","not collected",2015-06-22,"10:09:43 AM","2015","6/22/2015",-3.532,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected",-20.014,3.947
"365","D20","14","0",0.06,-3.583,"Bone","4","1","Prof.GK",10,88,120,NA,NA,"no","not collected",2015-06-22,"10:15:00 AM","2015","6/22/2015",-3.583,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",120,NA,NA,NA,NA,"not collected",-20.023,3.946
"366","D20","16","0",0.01,-3.563,"Bone","4","1","Prof.GK",6,8,270,NA,NA,"no","not collected, long bone fragment",2015-06-22,"10:52:02 AM","2015","6/22/2015",-3.563,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",270,NA,NA,NA,NA,"not collected, long bone fragment",-20.395,3.677
"368","D20","18","0",0,-3.59,"Bone","4","1","Prof.GK",4,70,NA,NA,NA,"yes","humerus, distal part",2015-06-22,"12:01:30 PM","2015","6/22/2015",-3.59,"Bone","4","yes","fragment","isolated","1",NA,"1","humerus","appendicular","distal",NA,NA,NA,NA,"humerus, distal frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"humerus, distal part",-20.405,3.7
"369","D20","19","0",0,-3.599,"Bone","4","1","Prof.GK",18,248,180,NA,NA,"no","not collected, long bone fragment",2015-06-22,"12:04:01 PM","2015","6/22/2015",-3.599,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",180,NA,NA,NA,NA,"not collected, long bone fragment",-20.445,3.721
"370","D20","20","0",0,-3.553,"Bone","4","1","Prof.GK",4,82,NA,NA,NA,"yes","metapodium, equus",2015-06-22,"2:01:30 PM","2015","6/22/2015",-3.553,"Bone","4","yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II","BM4",NA,NA,"metapode","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"metapodium, equus",-20.645,3.791
"371","D20","21","0",0,-3.555,"Bone","4","1","Prof.GK",0,82,260,NA,NA,"no","not collected, long bone fragment",2015-06-22,"2:03:43 PM","2015","6/22/2015",-3.555,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",260,NA,NA,NA,NA,"not collected, long bone fragment",-20.727,3.825
"372","D20","23","0",0,-3.626,"Bone","4","2","AG",12,240,80,NA,NA,"no","not collected",2015-06-23,"12:36:57 PM","2015","6/23/2015",-3.626,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",80,NA,NA,NA,NA,"not collected",-20.003,3.311
"373","D20","24","0",0.3,-3.811,"Bone","4","1","NT",0,160,85,NA,NA,"no","not collected, long bone fragment",2015-06-23,"1:04:26 PM","2015","6/23/2015",-3.811,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",85,NA,NA,NA,NA,"not collected, long bone fragment",-20.505,3.841
"374","D20","28","0",0.01,-3.914,"Bone","4","4","Prof.GK",15,330,100,NA,NA,"no","not collected, long bone fragment",2015-06-25,"10:06:33 AM","2015","6/25/2015",-3.914,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",100,NA,NA,NA,NA,"not collected, long bone fragment",-20.991,3.228
"375","D20","29","0",0.02,-3.9,"Bone","4","4","Prof.GK",0,84,220,NA,NA,"no","not collected, long bone fragment",2015-06-25,"11:40:32 AM","2015","6/25/2015",-3.9,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",220,NA,NA,NA,NA,"not collected, long bone fragment",-20.748,3.789
"376","D20","30","0",0.04,-3.878,"Bone","4","4","Prof.GK",0,190,140,NA,NA,"no","not collected, long bone fragment",2015-06-25,"11:42:10 AM","2015","6/25/2015",-3.878,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",140,NA,NA,NA,NA,"not collected, long bone fragment",-20.876,3.779
"377","D20","31","0",0.02,-3.9,"Bone","4","4","Prof.GK",NA,NA,140,NA,NA,"no","not collected, long bone fragment",2015-06-25,"1:48:37 PM","2015","6/25/2015",-3.9,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",140,NA,NA,NA,NA,"not collected, long bone fragment",-20.618,3.721
"378","D20","32","0",0.1,-4.017,"Bone","4","4","NT",15,240,90,NA,NA,"no","not collected, long bone fragment",2015-06-26,"1:58:18 PM","2015","6/26/2015",-4.017,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected, long bone fragment",-20.666,3.959
"380","D20","34","0",0.12,-3.983,"Bone","4","4","NT",26,346,230,NA,NA,"no","not collected, long bone fragment",2015-06-29,"9:50:35 AM","2015","6/29/2015",-3.983,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",230,NA,NA,NA,NA,"not collected, long bone fragment",-20.817,3.913
"383","D21","6","0",0.03,-3.655,"Tooth","4","1","Prof.GK",NA,NA,NA,NA,NA,"yes",NA,2015-06-16,"2:34:13 PM","2015","6/16/2015",-3.655,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper premolar/molar","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA,-21.102,3.318
"384","D21","7","0",0.03,-3.568,"Tooth","4","1","NT",8,353,NA,NA,NA,"yes",NA,2015-06-17,"9:39:19 AM","2015","6/17/2015",-3.568,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper premolar/molar","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA,-21.445,3.927
"385","D21","8","0",0.0500000007,-3.577,"Bone","4","1","NT",8,20,70,NA,NA,"no","not collected, fragment",2015-06-17,"10:08:51 AM","2015","6/17/2015",-3.577,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",70,NA,NA,NA,NA,"not collected, fragment",-21.071,3.733
"386","D21","9","0",0,-3.538,"Bone","4","1","NT",0,280,150,NA,NA,"no","not collected, long bone fragment",2015-06-17,"11:01:09 AM","2015","6/17/2015",-3.538,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",150,NA,NA,NA,NA,"not collected, long bone fragment",-21.247,3.654
"387","D21","10","0",0,-3.559,"Tooth","4","1","NT",5,146,NA,NA,NA,"yes",NA,2015-06-17,"11:02:08 AM","2015","6/17/2015",-3.559,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper premolar/molar","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,NA,-21.006,3.736
"388","D21","11","0",0,-3.572,"Tooth","4","1","NT",NA,NA,NA,NA,NA,"yes","fragment",2015-06-17,"12:16:04 PM","2015","6/17/2015",-3.572,"Tooth","4","yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth frags.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"fragment",-21.293,3.863
"390","D21","13","0",0,-3.56,"Bone","4","1","Prof.GK",0,130,250,NA,NA,"no","not collected, rib",2015-06-19,"12:34:27 PM","2015","6/19/2015",-3.56,"Bone","4","no","complete","isolated","1",NA,"1","rib","axial",NA,"I",NA,NA,NA,"rib","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",250,NA,NA,NA,NA,"not collected, rib",-21.058,3.777
"391","D21","14","0",0,-3.553,"Bone","4","1","Prof.GK",0,130,160,NA,NA,"no","not collected, long bone fragment",2015-06-19,"12:35:45 PM","2015","6/19/2015",-3.553,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",160,NA,NA,NA,NA,"not collected, long bone fragment",-21.018,3.809
"392","D21","15","0",0,-3.546,"Bone","4","1","Prof.GK",0,130,200,NA,NA,"no","not collected, long bone fragment",2015-06-19,"12:36:47 PM","2015","6/19/2015",-3.546,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",200,NA,NA,NA,NA,"not collected, long bone fragment",-21.089,3.718
"393","D21","16","0",0.01,-3.646,"Tooth","4","1","NT",NA,NA,NA,NA,NA,"yes","equus",2015-06-19,"2:36:08 PM","2015","6/19/2015",-3.646,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper premolar/molar","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"equus",-21.797,3.654
"394","D21","19","0",0.0099999998,-3.68,"Bone","4","1","NT",5,140,300,NA,NA,"no","long bone fragment, 10 cm fragment collected?",2015-06-22,"9:49:02 AM","2015","6/22/2015",-3.68,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",300,NA,NA,NA,NA,"long bone fragment, 10 cm fragment collected?",-21.487,3.275
"395","D21","20","0",0,-3.688,"Bone","4","1","NT",0,140,100,NA,NA,"no","not collected, long bone fragment",2015-06-22,"9:50:49 AM","2015","6/22/2015",-3.688,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",100,NA,NA,NA,NA,"not collected, long bone fragment",-21.496,3.225
"396","D21","22","0",0.01,-3.528,"Tooth","4","1","NT",0,45,70,NA,NA,"no","not collected, fragment, equus, probably Spit 3",2015-06-23,"2:40:13 PM","2015","6/23/2015",-3.528,"Tooth","4","no","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth frag.","Mammalia","Perissodactyla","Equidae","Equus",NA,"Equus","stratified",70,NA,NA,NA,NA,"not collected, fragment, equus, probably Spit 3",-21.653,3.998
"397","D21","23","0",0.08,-3.892,"Tooth","4","3","NT",NA,NA,NA,NA,NA,"yes","equus",2015-06-25,"12:25:38 PM","2015","6/25/2015",-3.892,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"P2 dex","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"equus",-21.514,3.655
"398","D21","25","0",0.01,-3.89,"Bone","4","4","NT",NA,NA,NA,NA,NA,"yes","atlas",2015-06-25,"1:01:36 PM","2015","6/25/2015",-3.89,"Bone","4","yes","complete","isolated","1",NA,"1","vertebra","axial",NA,"I",NA,NA,NA,"atlas","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"atlas",-21.935,3.449
"399","D21","26","0",0.16,-3.965,"Bone","4","4","NT",0,140,100,NA,NA,"no","not collected, long bone fragment",2015-06-26,"12:03:57 PM","2015","6/26/2015",-3.965,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",100,NA,NA,NA,NA,"not collected, long bone fragment",-21.074,3.711
"400","D21","27","0",0.01,-3.695,"Bone","4","3","NT",0,45,670,270,130,"no","not collected now, long bone, proboscidae",2015-06-29,"9:48:00 AM","2015","6/29/2015",-3.695,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia","Proboscidea","Elephantidae",NA,NA,"Elephantidae","stratified",670,NA,NA,NA,NA,"not collected now, long bone, proboscidae",-21.342,3.846
"401","D21","28","0",0,-3.968,"Bone","4",NA,"NT",0,154,60,30,NA,"no","not collected, long bone frag",2016-06-01,"1:56:31 PM","2016","6/1/2016",-3.968,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",60,NA,NA,NA,NA,"not collected, long bone frag",-21.151,3.87
"402","D21","29","0",0,-3.945,"Bone","4",NA,"NT",16,46,130,60,NA,"no","not collected, frag",2016-06-01,"2:57:39 PM","2016","6/1/2016",-3.945,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",130,NA,NA,NA,NA,"not collected, frag",-21.207,3.992
"403","D21","30","0",0.01,-4.053,"Bone","4",NA,"NT",35,110,100,40,NA,"no","not collected, long bone frag",2016-06-02,"12:28:06 PM","2016","6/2/2016",-4.053,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",100,NA,NA,NA,NA,"not collected, long bone frag",-21.036,3.624
"404","D21","31","0",0,-4.346,"Bone","4",NA,"NT",6,320,53,25,11,"no","Not collected, long bone frag",2017-05-30,"10:51:40 AM","2017","5/30/2017",-4.346,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone",NA,"fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stratified",53,NA,NA,NA,NA,"Not collected, long bone frag",-21.257,3.916
"408","D22","6","0",0.03,-3.65,"Bone","4","1","DG",20,154,NA,NA,NA,"yes",NA,2015-06-17,"1:56:43 PM","2015","6/17/2015",-3.65,"Bone","4","yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"astragalus dex","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,NA,-22.375,3.908
"409","D22","13","0",0.08,-3.946,"Bone","4","4","DG",NA,NA,NA,NA,NA,"yes","atlas",2015-06-23,"2:20:16 PM","2015","6/23/2015",-3.946,"Bone","4","yes","complete","isolated","1",NA,"1","vertebra","axial",NA,"I",NA,NA,NA,"axis","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"atlas",-22.419,3.633
"412","D22","23","0",0,-3.97,"Bone","4",NA,"DG",2,316,950,750,NA,"yes","Mammuth, scapula",2017-06-06,"10:01:32 AM","2017","6/6/2017",-4.089,"Bone","4","yes","complete","isolated","1",NA,"1","scapula","appendicular",NA,NA,NA,NA,NA,"scapula","Mammalia","Proboscidea","Elephantidae",NA,NA,"Elephantidae","stratified",950,NA,NA,NA,NA,"Mammuth, scapula",-22.296,3.394
"421","D23","4","0",0,-4.361,"Bone","4",NA,"Prof.GK",40,194,65,30,NA,"yes","1st phalang, cervid",2017-06-02,"11:54:29 AM","2017","6/2/2017",-4.361,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"first phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",65,NA,NA,NA,NA,"1st phalang, cervid",-23.234,3.239
"426","E15","1","0",0.4,-3.753,"Tooth","4",NA,"DK",NA,NA,NA,NA,NA,"yes","canine, equus",2016-06-01,"1:04:27 PM","2016","6/1/2016",-3.753,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"canine","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"canine, equus",-15.095,4.002
"427","E15","2","0",0.1,-3.59,"Bone","4",NA,"DK",30,0,110,NA,NA,"yes","distal metapodial, equus",2016-06-06,"10:56:19 AM","2016","6/6/2016",-3.59,"Bone","4","yes","fragment","isolated","1",NA,"1","metapode","appendicular","distal",NA,NA,NA,NA,"metapode, distal frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"distal metapodial, equus",-15.934,4.375
"428","E15","3","0",0,-3.702,"Bone","4",NA,"GK",4,40,150,4,NA,"no","not collected, long bone frag",2016-06-08,"1:58:08 PM","2016","6/8/2016",-3.702,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",150,NA,NA,NA,NA,"not collected, long bone frag",-15.904,4.338
"429","E16","3","0",0.4,-3.775,"Bone","4",NA,"DK",0,152,200,50,NA,"yes","distal radius, equus",2016-06-01,"12:01:44 PM","2016","6/1/2016",-3.775,"Bone","4","yes","fragment","isolated","1",NA,"1","radius","appendicular","distal",NA,NA,NA,NA,"radius sin, distal frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"distal radius, equus",-16.371,4.031
"430","E16","4","0",0.6,-4.004,"Bone","4",NA,"Prof.GK",20,260,200,50,NA,"no","not collected, long bone frag",2016-06-01,"2:31:14 PM","2016","6/1/2016",-4.004,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",200,NA,NA,NA,NA,"not collected, long bone frag",-16.937,4.184
"431","E16","6","0",0.3,-3.635,"Bone","4",NA,"DK",NA,NA,110,30,NA,"no","not collected, long bone frag",2016-06-03,"12:04:20 PM","2016","6/3/2016",-3.635,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",110,NA,NA,NA,NA,"not collected, long bone frag",-16.115,4.4
"432","E16","7","0",0.2,-3.556,"Bone","4",NA,"DK",NA,NA,90,40,NA,"no","Not collected, frag",2016-06-06,"10:40:26 AM","2016","6/6/2016",-3.556,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"Not collected, frag",-16.425,4.52
"434","E16","9","0",0.3,-3.623,"Bone","4",NA,"DK",20,348,NA,NA,NA,"yes","metapodial, carnivore",2016-06-06,"11:56:57 AM","2016","6/6/2016",-3.623,"Bone","4","yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II",NA,NA,NA,"metapode","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"metapodial, carnivore",-16.737,4.518
"435","E16","10","0",0.3,-3.627,"Bone","4",NA,"DK",10,10,100,NA,NA,"no","not collected, frag",2016-06-06,"12:03:13 PM","2016","6/6/2016",-3.627,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",100,NA,NA,NA,NA,"not collected, frag",-16.704,4.517
"436","E16","11","0",0.3,-3.654,"Bone","4",NA,"GK",NA,NA,40,40,NA,"no","not collected, vertebra frag",2016-06-08,"10:15:53 AM","2016","6/8/2016",-3.654,"Bone","4","no","fragment","isolated","1",NA,"1","vertebra","axial","fragment",NA,NA,NA,NA,"vertebra frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",40,NA,NA,NA,NA,"not collected, vertebra frag",-16.428,4.542
"437","E16","12","0",0.25,-3.645,"Bone","4",NA,"GK",NA,NA,70,55,NA,"yes","vertebra",2016-06-08,"10:16:57 AM","2016","6/8/2016",-3.645,"Bone","4","yes","fragment","isolated","1",NA,"1","vertebra","axial","fragment",NA,NA,NA,NA,"vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"vertebra",-16.292,4.595
"438","E16","13","0",0.4,-3.738,"Bone","4",NA,"GK",12,214,60,30,NA,"yes","calcaneus",2016-06-08,"10:42:28 AM","2016","6/8/2016",-3.738,"Bone","4","yes","fragment","isolated","1",NA,"1","tarsal","appendicular","fragment",NA,NA,NA,NA,"calcaneus sin","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"calcaneus",-16.201,4.626
"439","E16","14","0",0.3,-3.61,"Bone","4",NA,"GK",10,230,250,25,NA,"no","not collected, rib frag",2016-06-08,"11:11:39 AM","2016","6/8/2016",-3.61,"Bone","4","no","fragment","isolated","1",NA,"1","rib","axial","fragment",NA,NA,NA,NA,"rib frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",250,NA,NA,NA,NA,"not collected, rib frag",-16.293,4.828
